var,coef,se
two_playerFALSE,6.291383190786423,0.009101216466573409
two_playerTRUE,6.413931985486428,0.019312369700593645
soloFALSE,6.291383190786494,0.009101216466568064
soloTRUE,6.447150106528921,0.020930901171256445
