x,fit,se
1258360177,3.657305698399485,0.5056748896917019
1260719710.8484848,3.679453822265647,0.4823538039522001
1263079244.6969697,3.7016047510610193,0.45930970677381466
1265438778.5454545,3.7237612897148034,0.4366064425032795
1267798312.3939395,3.745926243153923,0.41430862740879254
1270157846.2424242,3.768102313691874,0.3924846346095138
1272517380.090909,3.7902918273164445,0.371213303976325
1274876913.939394,3.8124970237673024,0.3505721799351203
1277236447.7878788,3.834720142784096,0.3306332034635062
1279595981.6363637,3.8569634241065143,0.3114610051095858
1281955515.4848485,3.8792291074742016,0.29311094266731813
1284315049.3333333,3.9015194326268365,0.27562693123793325
1286674583.1818182,3.9238366393040973,0.2590391735227532
1289034117.030303,3.946182728704362,0.24336224927582178
1291393650.878788,3.968556477068897,0.22859684290293852
1293753184.7272727,3.990951524704601,0.21473137706954662
1296112718.5757575,4.013359495856446,0.20173870739788516
1298472252.4242425,4.035771981685405,0.18957426428344934
1300831786.2727273,4.058179187185718,0.1781795097563748
1303191320.121212,4.080567583705012,0.16748919113211103
1305550853.969697,4.102920838329341,0.1574363802673159
1307910387.8181818,4.125215487429828,0.14796615421979448
1310269921.6666667,4.1474185894810685,0.13904698495809514
1312629455.5151515,4.169486968099999,0.1306774394537075
1314988989.3636363,4.191366884943337,0.12288765979072445
1317348523.2121212,4.212994086291109,0.11573447569010839
1319708057.060606,4.234290573241497,0.10929296737766737
1322067590.909091,4.2551669334364215,0.10363325088243044
1324427124.7575758,4.275523294302839,0.09879620187881183
1326786658.6060605,4.295253288698296,0.09476791687531808
1329146192.4545455,4.3142488181406,0.09146384893893382
1331505726.3030303,4.332402824379838,0.08874637712987316
1333865260.1515152,4.349612209551819,0.08645676646551123
1336224794,4.365780225700621,0.08444012286059524
1338584327.8484848,4.380820539237294,0.0825754544869753
1340943861.6969697,4.394657726180865,0.08078548986042289
1343303395.5454545,4.407232117369551,0.07904535554597143
1345662929.3939395,4.418492733500447,0.07735481954583416
1348022463.2424242,4.428399156332738,0.07572552136426841
1350381997.090909,4.436928584603585,0.07417880488080916
1352741530.939394,4.444075871865647,0.07273122605701828
1355101064.7878788,4.449851495705608,0.07138051708639825
1357460598.6363637,4.45427252223937,0.07008612965345505
1359820132.4848485,4.457365980204474,0.06878466288647345
1362179666.3333333,4.459169080822185,0.06740820064321297
1364539200.1818182,4.459733108682638,0.06591611758201932
1366898734.030303,4.4591248070959155,0.0643136048603702
1369258267.878788,4.457425062237258,0.06265039266134285
1371617801.7272727,4.45473498239247,0.06102369115758483
1373977335.5757575,4.451172897342183,0.059537972985305054
1376336869.4242425,4.446870121160884,0.058259495495707886
1378696403.2727273,4.4419692371609925,0.05719365669321011
1381055937.121212,4.436622599978087,0.05628761636114374
1383415470.969697,4.430989562533298,0.05545132892345193
1385775004.8181818,4.425233893175431,0.054598650255382165
1388134538.6666667,4.41952175842097,0.053705914940035446
1390494072.5151515,4.41401820049866,0.05280964941029142
1392853606.3636365,4.408881410466988,0.05197654050997388
1395213140.2121212,4.404253513973598,0.051291711583207486
1397572674.060606,4.400255968634265,0.05080761745945251
1399932207.909091,4.3969831290026375,0.05051530607532856
1402291741.7575758,4.394503282768631,0.05033707077420074
1404651275.6060605,4.392854803598192,0.05016439711467549
1407010809.4545455,4.392039366664933,0.04992020091851975
1409370343.3030303,4.392029755868043,0.04958298257530189
1411729877.1515152,4.392771856844638,0.0491998733905702
1414089411,4.394192890135423,0.04885507717495882
1416448944.8484848,4.396209870253187,0.0486263335634051
1418808478.6969697,4.39873513713432,0.04855854434725065
1421168012.5454545,4.4016829727491995,0.04863564377034176
1423527546.3939395,4.404973313248092,0.04877443663734925
1425887080.2424242,4.408541497342165,0.04888320538371688
1428246614.090909,4.412349031703284,0.04893214824844632
1430606147.939394,4.416386838395324,0.04897450124980217
1432965681.7878788,4.420669412804209,0.04910916776394145
1435325215.6363637,4.425231427229131,0.04943222343114773
1437684749.4848485,4.430123027196559,0.049991766988490574
1440044283.3333333,4.435405056176906,0.05076760254416663
1442403817.1818182,4.4411407183731875,0.051670520129500803
1444763351.030303,4.447388497638957,0.05258464351234675
1447122884.878788,4.454193541051907,0.0534456174198439
1449482418.7272727,4.461582655404871,0.05427758267675752
1451841952.5757575,4.469561498930022,0.05518697900632535
1454201486.4242425,4.478125169939066,0.05629456755893452
1456561020.2727273,4.487254458245254,0.05770912813127272
1458920554.121212,4.496905180096351,0.059521754445656716
1461280087.969697,4.507016917232534,0.06177117522402342
1463639621.8181818,4.51752265423222,0.06445013102780127
1465999155.6666667,4.528352984080005,0.06756384039058305
1468358689.5151515,4.539440297176561,0.07118143139439531
1470718223.3636365,4.550721222818129,0.07545153381688403
1473077757.2121212,4.562141022398615,0.08060568570121053
1475437291.060606,4.57365655341028,0.08691615069540673
1477796824.909091,4.585236440709594,0.09461660785875996
1480156358.7575758,4.596856109709175,0.1038272812683465
1482515892.6060605,4.608498848314439,0.11453449759950256
1484875426.4545455,4.620153988182394,0.12660425278904258
1487234960.3030303,4.631813927561534,0.1398199157005069
1489594494.1515152,4.643475135289241,0.1539342381609839
1491954028,4.6551364625207245,0.16871248401671438
