term,nmodels,coef,freq
wait,100,0.07512609349873192,0.1726964055731179
creative,100,0.07425177719852494,0.13441049057487414
ensure,100,0.07390104617351125,0.1232876712328767
game__store,100,0.07359364011974392,0.04695000585411544
quick,100,0.07195293716285661,0.20489404051047885
interact,100,-0.07162241095399069,0.0395738203957382
standard,100,-0.07129532026584565,0.19306872731530267
10,100,0.07075967777784135,0.42231588806931275
exclusive,100,-0.07043744260979794,0.19517620887483902
resin,100,0.07003619645153729,0.06837606837606838
solid,100,0.06954976114127429,0.07177145533309917
wood,100,0.06941004433865003,0.08043554618897085
shop,100,-0.06895294010479883,0.0752839245989931
lie,100,0.06833950736865205,0.06931272684697343
live,100,0.06763839868595857,0.20126448893572182
3d,100,-0.06712609399047208,0.08991921320688444
display,100,0.0668113712397457,0.0700152207001522
picture,100,-0.06665798132110416,0.1642664793349725
hit,100,0.06538048163144199,0.22233930453108536
website,100,-0.06524294158105186,0.21133356749795107
fund,100,-0.06521958031544783,0.3734925652733872
card,100,-0.06470389575168065,0.5892752605081372
cthulhu,100,0.06453219365716652,0.0350076103500761
party__game,100,-0.06332652949040847,0.04613042969207353
location,100,0.06321885689194329,0.15232408383093315
understand,100,-0.06265652615417483,0.08734340241189556
answer,100,-0.062453675691891045,0.09752956328298794
choose,100,0.06209550613859993,0.4155251141552511
system,100,-0.061627932318191754,0.26647933497248566
author,100,0.06157830234341746,0.07598641845217188
20,100,0.0615345088303861,0.31822971548998946
support,100,0.06153065471905411,0.4307458143074581
day,100,0.061482941027099516,0.2555906802482145
victory,100,0.0606425460341928,0.11661397962767826
view,100,0.06044833133501935,0.09530499941458846
tom__vasel,100,0.059135714460150486,0.01639152324083831
head,100,0.0589615072390028,0.14131834679779887
lead,100,-0.05798846579339584,0.18756585879873552
skill,100,-0.05790543403712862,0.17058892401358156
defend,100,-0.05693049405245159,0.06568317527221637
cost,100,-0.05679692613517818,0.43425828357335206
quality,100,-0.05679178785880992,0.3426999180423838
feel,100,-0.05643027071486008,0.28661749209694415
hold,100,0.05599180618561672,0.20430862896616322
crazy,100,0.05503518188201463,0.06345861140381688
ks,100,0.05479639377720415,0.07247394918627795
