Title,Year,titleyear,AvgRating,MinAge,SuggestedPlayers,solo,two_player,log_playtime,AvgWeight
Star Wars: X-Wing Miniatures Game,2012,Star Wars: X-Wing Miniatures Game (2012),7.87966,14,2,FALSE,TRUE,3.8066624897703196,2.4691
Battlestar Galactica,2008,Battlestar Galactica (2008),7.77637,10,5,FALSE,FALSE,5.703782474656201,3.2275
Fields of Arle,2014,Fields of Arle (2014),8.21534,13,2,TRUE,FALSE,4.787491742782046,3.9064
Dominion,2008,Dominion (2008),7.7012,13,3,FALSE,FALSE,3.4011973816621555,2.3757
Sherlock Holmes Consulting Detective,1981,Sherlock Holmes Consulting Detective (1981),7.85362,10,2,TRUE,FALSE,4.787491742782046,2.7759
Tigris & Euphrates,1997,Tigris & Euphrates (1997),7.72431,12,4,FALSE,FALSE,4.499809670330265,3.531
Russian Railroads,2013,Russian Railroads (2013),7.82916,12,4,FALSE,FALSE,4.787491742782046,3.4117
Trajan,2011,Trajan (2011),7.8163,12,4,FALSE,FALSE,4.499809670330265,3.6733
Pandemic,2008,Pandemic (2008),7.6726,8,4,FALSE,FALSE,3.8066624897703196,2.431
Mombasa,2015,Mombasa (2015),8.01314,12,4,FALSE,FALSE,5.0106352940962555,3.861
Castles of Mad King Ludwig,2014,Castles of Mad King Ludwig (2014),7.74523,13,4,TRUE,FALSE,4.499809670330265,2.6557
Descent: Journeys in the Dark (Second Edition),2012,Descent: Journeys in the Dark (Second Edition) (2012),7.79957,14,5,FALSE,FALSE,4.787491742782046,3.1905
Troyes,2010,Troyes (2010),7.75576,12,3,TRUE,FALSE,4.499809670330265,3.4671
Crokinole,1876,Crokinole (1876),7.80884,8,4,FALSE,FALSE,3.4011973816621555,1.2877
Santorini,2016,Santorini (2016),8.12765,8,2,FALSE,FALSE,2.995732273553991,1.7979
War of the Ring (first edition),2004,War of the Ring (first edition) (2004),7.81682,12,2,FALSE,FALSE,5.19295685089021,3.839
The Resistance: Avalon,2012,The Resistance: Avalon (2012),7.7212,13,7,FALSE,FALSE,3.4011973816621555,1.7788
A Game of Thrones: The Board Game (Second Edition),2011,A Game of Thrones: The Board Game (Second Edition) (2011),7.74185,14,6,FALSE,FALSE,5.480638923341991,3.641
Arcadia Quest,2014,Arcadia Quest (2014),8.01114,13,4,FALSE,FALSE,4.0943445622221,2.5495
Kemet,2012,Kemet (2012),7.77469,13,5,FALSE,FALSE,4.787491742782046,2.977
Stone Age,2008,Stone Age (2008),7.63267,10,4,FALSE,FALSE,4.499809670330265,2.5051
Alchemists,2014,Alchemists (2014),7.77106,13,4,FALSE,FALSE,4.787491742782046,3.7845
Legendary Encounters: An Alien Deck Building Game,2014,Legendary Encounters: An Alien Deck Building Game (2014),7.87269,17,3,TRUE,FALSE,3.8066624897703196,2.7068
Ora et Labora,2011,Ora et Labora (2011),7.78543,13,3,TRUE,FALSE,5.19295685089021,3.8875
The Gallerist,2015,The Gallerist (2015),8.06422,13,4,TRUE,FALSE,5.0106352940962555,4.2682
Nations,2013,Nations (2013),7.76429,14,3,TRUE,FALSE,5.298317366548036,3.5338
Suburbia,2012,Suburbia (2012),7.64988,8,3,TRUE,FALSE,4.499809670330265,2.7742
Commands & Colors: Ancients,2006,Commands & Colors: Ancients (2006),7.79776,12,2,FALSE,TRUE,4.0943445622221,2.6907
Star Realms,2014,Star Realms (2014),7.64326,12,2,FALSE,TRUE,2.995732273553991,1.9738
Forbidden Stars,2015,Forbidden Stars (2015),8.07232,14,3,FALSE,FALSE,5.19295685089021,3.7362
Railways of the World,2005,Railways of the World (2005),7.70365,10,5,FALSE,FALSE,4.787491742782046,3.0293
Paths of Glory,1999,Paths of Glory (1999),8.02592,14,2,FALSE,TRUE,6.173786103901937,3.8057
Ticket to Ride: Europe,2005,Ticket to Ride: Europe (2005),7.5917,8,4,FALSE,FALSE,4.0943445622221,1.9661
Chaos in the Old World,2009,Chaos in the Old World (2009),7.68448,13,4,FALSE,FALSE,4.787491742782046,3.1696
Combat Commander: Europe,2006,Combat Commander: Europe (2006),7.92354,12,2,FALSE,TRUE,5.19295685089021,3.201
Cosmic Encounter,2008,Cosmic Encounter (2008),7.60758,12,5,FALSE,FALSE,4.787491742782046,2.5525
Istanbul,2014,Istanbul (2014),7.63318,10,4,FALSE,FALSE,4.0943445622221,2.6086
Steam,2009,Steam (2009),7.68531,10,4,FALSE,FALSE,4.499809670330265,3.4505
Galaxy Trucker: Anniversary Edition,2012,Galaxy Trucker: Anniversary Edition (2012),8.27114,10,4,FALSE,FALSE,4.787491742782046,2.7951
Goa,2004,Goa (2004),7.64622,12,4,FALSE,FALSE,4.499809670330265,3.3871000000000002
Viticulture,2013,Viticulture (2013),7.77759,13,3,FALSE,FALSE,4.499809670330265,2.9328
Splendor,2014,Splendor (2014),7.54474,10,3,FALSE,FALSE,3.4011973816621555,1.8407
The Lord of the Rings: The Card Game,2011,The Lord of the Rings: The Card Game (2011),7.6475,13,2,TRUE,FALSE,4.0943445622221,3.1173
The Princes of Florence,2000,The Princes of Florence (2000),7.5949,12,5,FALSE,FALSE,4.605170185988092,3.2525
La Granja,2014,La Granja (2014),7.80853,12,4,TRUE,FALSE,4.787491742782046,3.5799
Age of Steam,2002,Age of Steam (2002),7.70031,13,4,TRUE,FALSE,4.787491742782046,3.9297
